Frame,ROI_0,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16
611,"(25.636062217544794, 140.89510268725525)","(9.58874812153449, 148.3599564739343)","(84.64923316373893, 131.15825522889924)","(144.57549162084717, 84.86043940356596)","(187.52194740864732, 109.89816916137302)","(211.81748883701454, 103.44191105410765)","(227.06307536143626, 104.12170999483804)","(203.88292175533837, 60.759705297229544)","(208.27853157800195, 69.64186418506927)","(298.40905175218825, 74.0159872378213)","(349.3321767046902, 74.46712807406657)","(358.0502836008923, 60.158043846243274)","(350.7623528273386, 46.897937974196395)","(354.7146506731145, 39.29732798877927)","(377.4879537677912, 46.739155192182835)","(419.1349267085456, 40.121994692073955)","(428.1425749962384, 41.6079797292656)"
612,"(25.634807873580172, 140.89457966787293)","(9.592539711109557, 148.35651923180092)","(84.62688484739165, 131.16576939212453)","(144.63226863528416, 84.8481057870431)","(187.53174180805343, 109.90014366166437)","(211.8184575416354, 103.44645341169658)","(227.05681377809253, 104.15627142344474)","(203.94535022787312, 60.7637608253126)","(208.2749191933626, 69.6436260770092)","(298.41101036480836, 74.01399480996402)","(349.35931488940304, 74.41194398983941)","(358.0214764683013, 60.16645923320188)","(350.7675385130415, 46.89760868073737)","(354.7094411506096, 39.30055769910955)","(377.46895473906045, 46.72336322543218)","(419.1553904187208, 40.163224888400045)","(428.12241669831707, 41.6016490669518)"
613,"(25.654499332747722, 140.8790304812185)","(9.591377299056036, 148.3553978162012)","(84.61699900147362, 131.15809060657975)","(144.61679163886646, 84.8498517066175)","(187.5254892141809, 109.90650993670721)","(211.81570016031668, 103.43796204489028)","(227.07770944360897, 104.13914578236955)","(203.84818366640866, 60.77777785691035)","(208.27383288913944, 69.64788240128719)","(298.3899325271948, 74.02407681297869)","(349.2896328772713, 74.46651931967851)","(358.00967329411816, 60.178579005081424)","(350.7615647288439, 46.89646304411555)","(354.72206958140254, 39.303253665490175)","(377.4819415045196, 46.742476820443926)","(419.0991526510418, 40.1259313854152)","(428.1278580682041, 41.61814179835398)"
614,"(25.644626424012756, 140.89122666806034)","(9.597784306354438, 148.35879541155217)","(84.63587896368449, 131.15919408864124)","(144.61972045942642, 84.8539979481102)","(187.53004806962454, 109.89732817280311)","(211.81876705931086, 103.4363763054477)","(227.08088799583004, 104.14124785159507)","(203.91009663135924, 60.68873160221777)","(208.2923003047906, 69.63627538737444)","(298.413546643297, 74.02821491072739)","(349.3240952020859, 74.47269942113152)","(358.0193017663551, 60.18247965510551)","(350.76645223815706, 46.894325235536286)","(354.7201397654031, 39.302712298504524)","(377.4679060296825, 46.733960366781716)","(419.08441443201065, 40.15451439307347)","(428.12831010354654, 41.60206855535541)"
615,"(25.639721758874103, 140.89370826745846)","(9.599527923516881, 148.3505783164985)","(84.64551422423901, 131.14923235404703)","(144.6123413215629, 84.85525231947952)","(187.53549198885463, 109.89415174916677)","(211.81944460180372, 103.4362732096642)","(227.06978081264512, 104.14399369469467)","(203.89290691860955, 60.78179593552655)","(208.28980032478418, 69.63700928686082)","(298.41165527738417, 74.00568158591761)","(349.31488120985915, 74.41661984024974)","(358.02305814500147, 60.180958498693414)","(350.765494760042, 46.89637627525093)","(354.71759577043315, 39.29576394233115)","(377.45606651651013, 46.71779999414152)","(419.04559749575577, 40.18154389119634)","(428.1077778792981, 41.59178122901154)"
616,"(25.637401848891844, 140.88977519290353)","(9.594401004226238, 148.35512916660335)","(84.65826635303824, 131.16484502142572)","(144.63853018540635, 84.82640244122898)","(187.5330483382209, 109.89724629492542)","(211.81730843866774, 103.4383879536238)","(227.07854535413657, 104.14393269176311)","(203.87759524236785, 60.78869914042026)","(208.28006991346044, 69.6294597133387)","(298.4023963984156, 74.01196185303948)","(349.3056101750518, 74.44957873997004)","(358.0588873365301, 60.1622603685219)","(350.7669899452901, 46.89249644898194)","(354.7179863000439, 39.29812643882868)","(377.48756549363327, 46.73981649595215)","(419.21289260014044, 40.15537881560177)","(428.12076700773775, 41.5955629462055)"
617,"(25.613666327366094, 140.883324191662)","(9.599764832455822, 148.34691044440856)","(84.67802337416745, 131.14993368747307)","(144.63093489186014, 84.84634854482856)","(187.5227670868348, 109.89118517163581)","(211.82082064752487, 103.43978124067347)","(227.0829496418477, 104.15280463909609)","(203.89482588093432, 60.76733309969884)","(208.3052587555821, 69.62303933603349)","(298.4112857139987, 74.01197576623125)","(349.312801230341, 74.40058954243108)","(358.01586291893733, 60.17658302402581)","(350.7651758588401, 46.89053324672245)","(354.72614770927555, 39.297701477598686)","(377.4674791679219, 46.742710252028346)","(419.1057802319543, 40.153290187635)","(428.1364265645397, 41.59917176878895)"
618,"(25.64193309911988, 140.88332874908056)","(9.597621866055237, 148.35157761762918)","(84.68942483143306, 131.14153830048434)","(144.62115782064532, 84.81786784695971)","(187.5360941763419, 109.89129393382927)","(211.8189415331287, 103.4332299583656)","(227.06691289656254, 104.16853705148587)","(203.89686999879962, 60.800647021506265)","(208.29946032977102, 69.6393804919754)","(298.41478138070903, 74.01727323335066)","(349.3438875610438, 74.45208842458982)","(358.0279113992589, 60.172325778648464)","(350.7724283501533, 46.89564012885086)","(354.72318233339035, 39.29814972916198)","(377.46455353778146, 46.72730081536664)","(419.13619587396136, 40.15274956045319)","(428.1197173423435, 41.59029351008615)"
619,"(25.648434614346993, 140.88401732317053)","(9.605287449200421, 148.34606531522056)","(84.69616469290166, 131.13189820358005)","(144.69317482101138, 84.84253534354825)","(187.5376647320497, 109.88797545262187)","(211.8228923985149, 103.43440325389597)","(227.06000552928722, 104.16007424383096)","(203.89274103498553, 60.72956002032322)","(208.30886947197152, 69.63830685008642)","(298.4172835732773, 74.01040226426883)","(349.26241606395024, 74.41251082392499)","(358.03161338888856, 60.17081143890517)","(350.76783939131303, 46.88742806034323)","(354.71974084781556, 39.300607824178826)","(377.4941500935784, 46.73930213357333)","(419.15943182861423, 40.1618819564206)","(428.1420907417252, 41.5727142674568)"
620,"(25.648394911995258, 140.87168752589045)","(9.601118678992862, 148.34425135859047)","(84.66475642631107, 131.1244806245535)","(144.63449803958247, 84.83725262450025)","(187.5353441369122, 109.88712972222335)","(211.84403017935313, 103.4332204457734)","(227.0535192988829, 104.1290688887852)","(203.88661312952397, 60.73699245589073)","(208.30758789677432, 69.63251663244932)","(298.41367821660793, 74.01462477354146)","(349.3130569353978, 74.43964179034268)","(358.0276674679036, 60.15284488057077)","(350.7726713608823, 46.89125174621745)","(354.7323563995478, 39.290654619954)","(377.46859104202395, 46.71357210702697)","(419.064203936355, 40.110285293065665)","(428.13366148154887, 41.55873425703846)"
621,"(25.640833847773525, 140.87602889863368)","(9.59941899632434, 148.34361017504537)","(84.65944271804011, 131.12962966266778)","(144.65546162194275, 84.86476868000932)","(187.5375960489931, 109.88576890407103)","(211.82269307560261, 103.43087790482832)","(227.0591775714518, 104.15608963249618)","(203.86187643807924, 60.76587453308747)","(208.31384511859898, 69.62427592419436)","(298.412614581879, 74.00777794821431)","(349.37344448012766, 74.41636203765107)","(358.0223058905154, 60.178614908345544)","(350.7750310436533, 46.88717936802418)","(354.7267221046241, 39.29467119911609)","(377.49014524916936, 46.753172651728676)","(419.174213396407, 40.18059794905699)","(428.13415538447435, 41.612968403008175)"
622,"(25.641970552831218, 140.86966589333514)","(9.595179356473901, 148.33652077590367)","(84.65519912409104, 131.1298160169997)","(144.60215984081987, 84.83855630985124)","(187.5411963044467, 109.87814603128153)","(211.8250480893097, 103.42088687263852)","(227.07326373784264, 104.15045558249444)","(203.8386037367898, 60.69367583802024)","(208.2979904955627, 69.62635704881137)","(298.4227134415547, 74.00324325913907)","(349.3158587338765, 74.44930111235216)","(358.02689957809883, 60.15871945087797)","(350.7697068457894, 46.88202526479889)","(354.7135058057328, 39.28124004349758)","(377.46869998991485, 46.71702180110411)","(419.1284577389546, 40.102057544864365)","(428.12179159886847, 41.56392481107821)"
623,"(25.641725186303674, 140.872152943698)","(9.606585353363124, 148.3323841673122)","(84.67486880941414, 131.1128579588407)","(144.64679656401512, 84.84139215875899)","(187.5449267541412, 109.88389306680673)","(211.8298063469926, 103.42867381809873)","(227.0706748537587, 104.1625454275727)","(203.89619189120833, 60.75941557815374)","(208.29664895102874, 69.64607209344516)","(298.4340175608979, 73.99942226583967)","(349.35216596304, 74.42221895454716)","(358.0266893518064, 60.16689759170306)","(350.7826173465328, 46.879857600719134)","(354.7428312197412, 39.28830005957971)","(377.4892297091215, 46.72728500352989)","(419.07932117421984, 40.1488294053424)","(428.13747202193866, 41.56084666852731)"
624,"(25.65016956938449, 140.86981184307095)","(9.610016274363332, 148.3297955083134)","(84.65649143483988, 131.12608302675682)","(144.6297427501056, 84.84342741283474)","(187.5379640469397, 109.86765570090928)","(211.83281817918373, 103.40716745527645)","(227.0452998644976, 104.13741805413909)","(203.89063191362993, 60.743467527545405)","(208.30160615680998, 69.62634577917376)","(298.4138541622365, 73.99874835425416)","(349.3290051958592, 74.40069523634479)","(358.04147931253834, 60.15201086382296)","(350.7741191565602, 46.8751656408302)","(354.7283015809149, 39.28368070705038)","(377.483204137343, 46.717134679842815)","(419.19651266021725, 40.13196631466507)","(428.130537312639, 41.54542622239979)"
625,"(25.659237343637177, 140.86065732425735)","(9.599079736483056, 148.31240909036734)","(84.67543239808302, 131.10753689352723)","(144.64664682738095, 84.83439241566404)","(187.54262928489027, 109.8725281339056)","(211.82543969024033, 103.42333712210875)","(227.02582565329962, 104.1361555702794)","(203.89024673958633, 60.69127691496365)","(208.32872219062915, 69.61598193016283)","(298.41631196308305, 73.9837972983282)","(349.32765189931996, 74.4370002454977)","(358.03698173936783, 60.15860284452345)","(350.77931869383576, 46.87448696690287)","(354.72839053944386, 39.27849287608012)","(377.49525082116475, 46.718621502766965)","(419.13802674027994, 40.16537112584248)","(428.091475758531, 41.55820148364991)"
626,"(25.649258620318207, 140.85802109029066)","(9.605093831827064, 148.3257644501405)","(84.6778377868794, 131.1018014972302)","(144.621242073379, 84.80051264451988)","(187.53820844992964, 109.8640430742187)","(211.83207315811532, 103.42017560302735)","(227.03631237172615, 104.1159086948042)","(203.8957218580686, 60.74282039641711)","(208.30970704004707, 69.60675126922911)","(298.43037486156186, 73.99863058432744)","(349.40639667163913, 74.45068275805112)","(358.04622458187856, 60.151878380165215)","(350.77790685691804, 46.86956505688891)","(354.70179220431027, 39.25415285961132)","(377.4620116024434, 46.6927260996135)","(419.03633140185127, 40.04358667633153)","(428.14145966495687, 41.56868415758101)"
627,"(25.644092870433084, 140.85802480692118)","(9.619794228178879, 148.3457719295885)","(84.67010535190725, 131.0978396901322)","(144.64251932976325, 84.81782134841008)","(187.54674594094544, 109.86124397745034)","(211.8236818701703, 103.41436545132132)","(227.03132460961268, 104.12923816885375)","(203.88623377877482, 60.70713187218058)","(208.30267819220262, 69.60887773775856)","(298.43239105810824, 73.98401023503128)","(349.34895832998495, 74.39770745760923)","(358.04367510086075, 60.15915681220922)","(350.7823444934002, 46.86872077040423)","(354.73485891831535, 39.268947828078666)","(377.4994353535205, 46.736063164175704)","(419.11556472157923, 40.17093730859307)","(428.14473651522445, 41.590863501531665)"
628,"(25.65056692343744, 140.848235635429)","(9.609891722481633, 148.30949385091793)","(84.67199383488327, 131.11081569344492)","(144.6575432996134, 84.81193893395697)","(187.55057226962907, 109.86105763204252)","(211.8336469650346, 103.40860352000718)","(227.04478107929106, 104.12978981834975)","(203.87081911931335, 60.716177821452845)","(208.2894311286338, 69.61314364307712)","(298.41540401472656, 73.9905197892621)","(349.26133757956603, 74.38505223628657)","(358.0417179575538, 60.15825005731474)","(350.78215616789674, 46.86701808516971)","(354.7371067398056, 39.2606786285911)","(377.4789758528728, 46.69847877861934)","(419.1127016390979, 40.099881123282614)","(428.17122782545295, 41.54078145004413)"
629,"(25.663214978488543, 140.84666468063585)","(9.607131634036518, 148.3132493878837)","(84.67075686876099, 131.10367354407578)","(144.62948996514103, 84.76130031543252)","(187.5496297354954, 109.85567821266038)","(211.83670303910242, 103.41184564147112)","(227.05836408156526, 104.12647514449179)","(203.88549314676533, 60.70725403687586)","(208.31614359048677, 69.60069890355393)","(298.42233908287017, 73.98352460032984)","(349.32286274096845, 74.3820374250306)","(358.05610501866624, 60.146774470943036)","(350.78625822439625, 46.861734183797815)","(354.7444380893541, 39.27815497226015)","(377.4755671933247, 46.69515412186533)","(419.15709715735153, 40.074762984175145)","(428.1526092913908, 41.576350804995364)"
630,"(25.65869088890345, 140.8392895546546)","(9.61281198677252, 148.3072977161466)","(84.68026542796389, 131.09521101463707)","(144.6364369461449, 84.83493744694768)","(187.55222952707788, 109.85130584365066)","(211.84518956283668, 103.4025931602456)","(227.03149489683233, 104.11226981692602)","(203.79664332267166, 60.716690397592636)","(208.32338736590827, 69.60592437799448)","(298.4257811654351, 73.99043837282024)","(349.3331990339651, 74.43118675024444)","(358.0474343884953, 60.12951888174996)","(350.78369203647634, 46.859549006867674)","(354.7365151116179, 39.26804033697841)","(377.4671431678832, 46.69279755673359)","(419.0812903104647, 40.1005596831116)","(428.1519813312183, 41.559993163398076)"
631,"(25.659349370073777, 140.83721943862096)","(9.615822281758568, 148.30138570400837)","(84.6879618014793, 131.09707244811452)","(144.63448267160211, 84.81112201467971)","(187.5602260811666, 109.84728295100257)","(211.83729348845267, 103.40482400729672)","(227.03269452870072, 104.11898142464135)","(203.8921417410015, 60.7201122499939)","(208.25806951888885, 69.5884647430185)","(298.4278189134855, 73.98205719916201)","(349.3336063293011, 74.40972155471547)","(358.05289435769345, 60.132295293435405)","(350.78964451877147, 46.862042252811094)","(354.724119179482, 39.266549120049156)","(377.4868915250733, 46.71135880782384)","(419.1449953095867, 40.085299276398814)","(428.15697287435427, 41.56138298542938)"
632,"(25.662173021532727, 140.84362958156416)","(9.620171927685112, 148.30564746578943)","(84.69581830129329, 131.09300525984102)","(144.66180838040225, 84.82035359872685)","(187.55722027235228, 109.84558149298276)","(211.8398930907203, 103.40398647207165)","(227.04236065771173, 104.11648207420514)","(203.952020186357, 60.69750536631083)","(208.32606482746732, 69.60423231892172)","(298.43715818816173, 73.97632684034211)","(349.3332199795624, 74.39285223690067)","(358.04461033844194, 60.13667134352375)","(350.7972448415809, 46.85418968750363)","(354.75038445935616, 39.2657994454172)","(377.4902103577756, 46.69960060990693)","(419.17167735575873, 40.16059326325751)","(428.1573988040676, 41.57851130352867)"
